timestamp,ecg_measurement,qrs_detected
4789376,1.9599218368,0
4793252,2.0332355499,0
4797132,2.1309874057,0
4801004,2.2727272510,0
4804884,2.4046921730,0
4808752,2.5024437904,0
4812612,2.5415444374,0
4816500,2.5610947608,0
4820372,2.6050829887,0
4824244,2.6686217784,0
4828128,2.7174975872,0
4832012,2.7126100063,0
4835884,2.6979472637,0
4839764,2.7077224254,0
4843636,2.7517106533,0
4847508,2.7908113002,0
4851380,2.7859237194,0
4855268,2.7614858150,0
4859148,2.7663733959,0
4863028,2.8201368331,0
4866908,2.8396871566,0
4870788,2.8299119949,0
4874668,2.7956988811,0
4878540,2.7859237194,0
4882420,2.8396871566,0
4886304,2.8592374801,0
4890184,2.8592374801,0
4894060,2.8299119949,0
4897948,2.8152492523,0
4901828,2.8445747375,0
4905700,2.8787879943,0
4909576,2.8885631561,0
4913464,2.8592374801,0
4917332,2.8396871566,0
4921208,2.8739002227,0
4925076,2.9130010604,0
4928944,2.9325513839,0
4932824,2.9178886413,0
4936696,2.8983383178,0
4940572,2.9227762222,0
4944464,2.9863147735,0
4948340,3.0009775161,0
4952216,2.9912023544,0
4956096,2.9765396118,0
4959984,2.9912023544,0
4963860,3.0498533248,0
4967724,3.0742912292,0
4971588,3.0645160675,0
4975452,3.0254154205,0
4979332,3.0205278396,0
4983204,3.0498533248,0
4987076,3.0742912292,0
4990948,3.0547409057,0
4994812,3.0058650970,0
4998668,2.9814271926,0
5002544,2.9863147735,0
5006424,2.9960899353,0
5010296,2.9569892883,0
5014172,2.8787879943,0
5018052,2.8103616714,0
5021940,2.7810361385,0
5025820,2.7614858150,0
5029684,2.7077224254,0
5033560,2.6246333122,0
5037452,2.5562071800,0
5041324,2.5268816947,0
5045196,2.5219941139,0
5049088,2.4975562095,0
5052964,2.4389052391,0
5056844,2.3851418495,0
5060716,2.3753666877,0
5064588,2.3949170112,0
5068468,2.3998045921,0
5072348,2.3607037067,0
5076220,2.3216030597,0
5080100,2.3216030597,0
5083964,2.3509285449,0
5087844,2.3704788684,0
5091716,2.3509285449,0
5095588,2.3118278980,0
5099460,2.3118278980,0
5103340,2.3411533832,0
5107228,2.3753666877,0
5111108,2.3753666877,0
5114988,2.3411533832,0
5118876,2.3362658023,0
5122756,2.3704788684,0
5126636,2.4193549156,0
5130508,2.4144673347,0
5134388,2.3802542686,0
5138260,2.3655912876,0
5142140,2.3851418495,0
5146020,2.4144673347,0
5149900,2.4193549156,0
5153780,2.3851418495,0
5157660,2.3607037067,0
5161524,2.3802542686,0
5165404,2.4144673347,0
5169292,2.4193549156,0
5173172,2.3753666877,0
5177052,2.3362658023,0
5180932,2.3313782215,0
5184820,2.3607037067,0
5188676,2.3607037067,0
5192532,2.3020527362,0
5196412,2.2580645084,0
5200284,2.2336266040,0
5204164,2.2385141849,0
5208036,2.2336266040,0
5211916,2.1847507953,0
5215796,2.1358749866,0
5219672,2.0918865203,0
5223532,2.0821113586,0
5227404,2.0723361968,0
5231284,2.0234603881,0
5235160,1.9599218368,0
5239036,1.9110459327,0
5242916,1.8963831901,0
5246788,1.8866080284,0
5250660,1.8426198005,0
5254524,1.7741935253,0
5258412,1.7204301357,0
5262288,1.7008798122,0
5266160,1.6911046504,0
5270028,1.6568914413,0
5273908,1.6031280517,0
5277780,1.5444769859,0
5281652,1.5249266624,0
5285524,1.5200390815,0
5289396,1.5004887580,0
5293264,1.4516129493,0
5297140,1.4027370452,0
5301020,1.3880742835,0
5304900,1.3929618644,0
5308780,1.3782991170,0
5312660,1.3343108892,0
5316524,1.2903225421,0
5320404,1.2756597995,0
5324284,1.2903225421,0
5328164,1.2854349613,0
5332036,1.2609970569,0
5335900,1.2218964099,0
5339772,1.2072336673,0
5343648,1.2218964099,0
5347516,1.2365591526,0
5351396,1.2121212482,0
5355284,1.1779080629,0
5359156,1.1632453203,0
5363036,1.1827956390,0
5366916,1.2121212482,0
5370796,1.1925709247,0
5374668,1.1534701585,0
5378536,1.1339198350,0
5382408,1.1485825777,0
5386284,1.1779080629,0
5390148,1.1827956390,0
5394016,1.1583577394,0
5397896,1.1436949968,0
5401776,1.1583577394,0
5405648,1.1876833438,0
5409524,1.1974585056,0
5413392,1.1681329011,0
5417272,1.1388074159,0
5421144,1.1583577394,0
5425020,1.1925709247,0
5428892,1.2072336673,0
5432764,1.1779080629,0
5436632,1.1436949968,0
5440496,1.1436949968,0
5444372,1.1632453203,0
5448248,1.1681329011,0
5452128,1.1339198350,0
5456012,1.0850440216,0
5459864,1.0557184219,0
5463728,1.0508308410,0
5467584,1.0361680984,0
5471460,0.9921798706,0
5475324,0.9286412239,0
5479204,0.8846529960,0
5483068,0.8748778343,0
5486940,0.8748778343,0
5490820,0.8699902534,0
5494676,0.8162267684,0
5498548,0.7966764450,0
5502420,0.8113391876,0
5506300,0.8162267684,0
5510168,0.8211143493,0
5514044,0.7917888641,0
5517916,0.7722384929,0
5521788,0.7917888641,0
5525660,0.8357770919,0
5529516,0.8504399299,0
5533380,0.8357770919,0
5537252,0.8162267684,0
5541132,0.8260019302,0
5544992,0.8602150917,0
5548852,0.8993157386,0
5552716,0.9384163856,0
5556584,1.0263929367,0
5560468,1.2218964099,0
5564332,1.5151515007,0
5568216,1.8621701240,0
5572084,2.1847507953,0
5575964,2.4340176582,0
5579836,2.4975562095,0
5583700,2.3558161258,0
5587580,2.0332355499,0
5591460,1.5591397285,0
5595336,1.0752688646,0
5599204,0.6989247322,1
5603076,0.4887585639,0
5606948,0.4105571746,0
5610820,0.4301075458,0
5614668,0.4887585639,0
5618528,0.5865102291,0
5622404,0.7233626842,0
5626276,0.8651026725,0
5630148,0.9677418708,0
5634008,1.0117301940,0
5637872,1.0508308410,0
5641732,1.1143695116,0
5645612,1.1827956390,0
5649484,1.2267839908,0
5653356,1.2365591526,0
5657244,1.2463343143,0
5661132,1.2805473804,0
5665004,1.3343108892,0
5668884,1.3782991170,0
5672748,1.3831867027,0
5676628,1.3929618644,0
5680500,1.4076246261,0
5684392,1.4565005302,0
5688256,1.4956011772,0
5692132,1.5053763389,0
5696012,1.5053763389,0
5699884,1.5200390815,0
5703740,1.5640274047,0
5707600,1.6080156326,0
5711476,1.6177907943,0
5715360,1.6129032135,0
5719244,1.6177907943,0
5723116,1.6617790222,0
5727000,1.7106549739,0
5730876,1.7204301357,0
5734752,1.7106549739,0
5738628,1.7155425548,0
5742500,1.7595307826,0
5746380,1.8132943153,0
5750272,1.8279570579,0
5754148,1.8230694770,0
5758016,1.8279570579,0
5761884,1.8768328666,0
5765760,1.9452590942,0
5769640,1.9941349029,0
5773508,2.0185728073,0
5777372,2.0283479690,0
5781244,2.0723361968,0
5785124,2.1309874057,0
5788996,2.1700880527,0
5792860,2.1652004718,0
5796716,2.1554253101,0
5800588,2.1700880527,0
5804452,2.2091886997,0
5808324,2.2238514423,0
5812204,2.2189638614,0
5816092,2.1652004718,0
5819972,2.1554253101,0
5823852,2.1700880527,0
5827708,2.1652004718,0
5831572,2.1260998249,0
5835452,2.0576734542,0
5839332,2.0136852264,0
5843216,1.9990224838,0
5847092,1.9745845794,0
5850968,1.9208210945,0
5854848,1.8377322196,0
5858724,1.7839686870,0
5862596,1.7644183635,0
5866476,1.7644183635,0
5870368,1.7399804592,0
5874244,1.7057673931,0
5878132,1.6568914413,0
5882032,1.6715541839,0
5885912,1.7008798122,0
5889784,1.7106549739,0
5893660,1.6911046504,0
5897532,1.6666666030,0
5901408,1.6862169265,0
5905288,1.7302052974,0
5909156,1.7546432018,0
5913040,1.7497556209,0
5916916,1.7350928783,0
5920796,1.7595307826,0
5924668,1.8084066390,0
5928536,1.8377322196,0
5932420,1.8328446388,0
5936300,1.8181818962,0
5940184,1.8279570579,0
5944056,1.8719452857,0
5947936,1.9061583518,0
5951816,1.9061583518,0
5955680,1.8866080284,0
5959540,1.8914956092,0
5963420,1.9403715133,0
5967312,1.9696969985,0
5971192,1.9794721603,0
5975068,1.9550342559,0
5978944,1.9550342559,0
5982824,1.9941349029,0
5986692,2.0283479690,0
5990564,2.0283479690,0
5994428,2.0039100646,0
5998296,1.9941349029,0
6002172,2.0185728073,0
6006044,2.0576734542,0
6009916,2.0674486160,0
6013788,2.0430107116,0
6017660,2.0234603881,0
6021524,2.0527858734,0
6025404,2.0772237777,0
6029276,2.0869989395,0
6033148,2.0625610351,0
6037020,2.0332355499,0
6040900,2.0430107116,0
6044764,2.0821113586,0
6048636,2.1212120056,0
6052508,2.0869989395,0
6056380,2.0576734542,0
6060260,2.0625610351,0
6064140,2.0967741012,0
6068004,2.1212120056,0
6071884,2.1065492630,0
6075756,2.0869989395,0
6079636,2.0723361968,0
6083500,2.1016616821,0
6087380,2.1309874057,0
6091252,2.1212120056,0
6095132,2.0869989395,0
6099004,2.0772237777,0
6102876,2.1260998249,0
6106748,2.1505377292,0
6110628,2.1456501483,0
6114500,2.1163244247,0
6118380,2.1016616821,0
6122260,2.1407625675,0
6126140,2.1652004718,0
6130020,2.1652004718,0
6133900,2.1358749866,0
6137772,2.1114368438,0
6141660,2.1260998249,0
6145532,2.1749756336,0
6149412,2.1700880527,0
6153276,2.1456501483,0
6157148,2.1163244247,0
6161036,2.1309874057,0
6164908,2.1700880527,0
6168764,2.1847507953,0
6172636,2.1603128910,0
6176508,2.1407625675,0
6180388,2.1358749866,0
6184268,2.1652004718,0
6188132,2.1896383762,0
6192012,2.1700880527,0
6195876,2.1358749866,0
6199756,2.1309874057,0
6203628,2.1652004718,0
6207484,2.1945259571,0
6211372,2.1847507953,0
6215252,2.1505377292,0
6219132,2.1358749866,0
6223020,2.1652004718,0
6226892,2.2043011188,0
6230756,2.2140762805,0
6234628,2.1700880527,0
6238484,2.1554253101,0
6242364,2.1798632144,0
6246244,2.2140762805,0
6250124,2.2140762805,0
6253996,2.1847507953,0
6257876,2.1798632144,0
6261748,2.2189638614,0
6265636,2.2776148319,0
6269516,2.2971651554,0
6273404,2.2727272510,0
6277292,2.2385141849,0
6281172,2.2434017658,0
6285052,2.2629520893,0
6288932,2.2776148319,0
6292820,2.2189638614,0
6296700,2.1652004718,0
6300564,2.1505377292,0
6304444,2.1749756336,0
6308332,2.1847507953,0
6312212,2.1554253101,0
6316092,2.1065492630,0
6319964,2.0869989395,0
6323844,2.1114368438,0
6327724,2.1309874057,0
6331588,2.1260998249,0
6335460,2.1016616821,0
6339340,2.0772237777,0
6343220,2.1065492630,0
6347100,2.1358749866,0
6350988,2.1309874057,0
6354852,2.1114368438,0
6358732,2.0918865203,0
6362596,2.1163244247,0
6366484,2.1505377292,0
6370356,2.1505377292,0
6374236,2.1114368438,0
6378124,2.0869989395,0
6381996,2.1212120056,0
6385876,2.2140762805,0
6389740,2.3362658023,0
6393628,2.4926686286,0
6397500,2.7370479106,0
6401372,3.0889539718,0
6405244,3.4506354331,0
6409116,3.7194526195,0
6412996,3.7390029430,0
6416872,3.4995112419,0
6420748,3.1133918762,0
6424632,2.6392962932,0
6428500,2.1505377292,0
6432384,1.7497556209,1
6436264,1.4809384346,0
6440140,1.3880742835,0
6444012,1.4418377876,0
6447892,1.5444769859,0
6451764,1.6373411178,0
6455652,1.7155425548,0
6459532,1.7937438488,0
6463416,1.9012707710,0
6467288,1.9745845794,0
6471168,1.9990224838,0
6475048,1.9990224838,0
6478916,2.0136852264,0
6482788,2.0576734542,0
6486668,2.1016616821,0
6490540,2.1212120056,0
6494420,2.0967741012,0
6498284,2.0918865203,0
6502156,2.1212120056,0
6506036,2.1603128910,0
6509916,2.1749756336,0
6513804,2.1554253101,0
6517676,2.1358749866,0
6521548,2.1554253101,0
6525436,2.1994135379,0
6529324,2.2238514423,0
6533204,2.2091886997,0
6537076,2.1896383762,0
6540956,2.2091886997,0
6544828,2.2531769275,0
6548708,2.2776148319,0
6552588,2.2629520893,0
6556460,2.2531769275,0
6560348,2.2482893466,0
6564228,2.2922775745,0
6568108,2.3264906406,0
6571972,2.3216030597,0
6575844,2.3020527362,0
6579716,2.3167154788,0
6583596,2.3607037067,0
6587460,2.3998045921,0
6591332,2.4095797538,0
6595212,2.3900294303,0
6599084,2.3998045921,0
6602956,2.4437928199,0
6606836,2.4926686286,0
6610708,2.5024437904,0
6614572,2.4828934669,0
6618452,2.4780058860,0
6622308,2.5122189521,0
6626188,2.5562071800,0
6630060,2.5659823417,0
6633948,2.5415444374,0
6637836,2.5073313713,0
6641712,2.5171065330,0
6645572,2.5366568565,0
6649460,2.5317692756,0
6653348,2.4828934669,0
6657228,2.4340176582,0
6661100,2.4193549156,0
6664988,2.4291300773,0
6668860,2.4046921730,0
6672724,2.3411533832,0
6676604,2.2776148319,0
6680484,2.2140762805,0
6684356,2.1896383762,0
6688236,2.1603128910,0
6692108,2.0967741012,0
6695984,2.0234603881,0
6699856,1.9843597412,0
6703732,2.0039100646,0
6707592,1.9892473220,0
6711472,1.9648094177,0
6715344,1.9208210945,0
6719224,1.9012707710,0
6723096,1.9208210945,0
6726968,1.9452590942,0
6730840,1.9452590942,0
6734704,1.9208210945,0
6738564,1.9110459327,0
6742448,1.9501466751,0
6746328,1.9892473220,0
6750196,2.0039100646,0
6754064,1.9843597412,0
6757952,1.9696969985,0
6761828,2.0136852264,0
6765700,2.0527858734,0
6769564,2.0772237777,0
6773444,2.0576734542,0
6777324,2.0478982925,0
6781204,2.0674486160,0
6785072,2.1114368438,0
6788948,2.1407625675,0
6792828,2.1309874057,0
6796692,2.1016616821,0
6800564,2.1163244247,0
6804444,2.1554253101,0
6808332,2.1847507953,0
6812212,2.1798632144,0
6816100,2.1407625675,0
6819972,2.1456501483,0
6823844,2.1798632144,0
6827716,2.2091886997,0
6831580,2.1945259571,0
6835468,2.1554253101,0
6839348,2.1505377292,0
6843220,2.1896383762,0
6847100,2.2238514423,0
6850988,2.2140762805,0
6854860,2.1798632144,0
6858732,2.1603128910,0
6862604,2.1847507953,0
6866484,2.2189638614,0
6870364,2.2189638614,0
6874252,2.1896383762,0
6878132,2.1700880527,0
6881996,2.1847507953,0
6885876,2.2140762805,0
6889748,2.2189638614,0
6893616,2.1847507953,0
6897484,2.1603128910,0
6901356,2.1749756336,0
6905244,2.2140762805,0
6909124,2.2238514423,0
6913004,2.1896383762,0
6916884,2.1603128910,0
6920756,2.1652004718,0
6924636,2.2043011188,0
6928508,2.2385141849,0
6932380,2.2091886997,0
6936252,2.1749756336,0
6940140,2.1700880527,0
6944012,2.2091886997,0
6947884,2.2336266040,0
6951740,2.2238514423,0
6955628,2.1945259571,0
6959508,2.1798632144,0
6963396,2.2091886997,0
6967260,2.2434017658,0
6971140,2.2385141849,0
6975020,2.2043011188,0
6978892,2.1994135379,0
6982764,2.2238514423,0
6986644,2.2531769275,0
6990516,2.2482893466,0
6994396,2.2140762805,0
6998276,2.1994135379,0
7002160,2.2140762805,0
7006028,2.2482893466,0
7009908,2.2531769275,0
7013788,2.2189638614,0
7017668,2.1945259571,0
7021540,2.2140762805,0
7025420,2.2531769275,0
7029300,2.2678396701,0
7033180,2.2385141849,0
7037068,2.2091886997,0
7040940,2.2336266040,0
7044820,2.2531769275,0
7048692,2.2727272510,0
7052564,2.2531769275,0
7056444,2.2189638614,0
7060316,2.2238514423,0
7064204,2.2678396701,0
7068084,2.2825024127,0
7071964,2.2629520893,0
7075836,2.2287390232,0
7079716,2.2287390232,0
7083588,2.2873899936,0
7087468,2.3264906406,0
7091340,2.3362658023,0
7095212,2.3167154788,0
7099092,2.3069403171,0
7102964,2.3362658023,0
7106844,2.3802542686,0
7110708,2.3460409641,0
7114572,2.2873899936,0
7118452,2.2385141849,0
7122332,2.2385141849,0
7126212,2.2531769275,0
7130092,2.2434017658,0
7133972,2.2189638614,0
7137852,2.1652004718,0
7141716,2.1700880527,0
7145572,2.1994135379,0
7149452,2.1994135379,0
7153332,2.1700880527,0
7157204,2.1407625675,0
7161084,2.1505377292,0
7164972,2.1945259571,0
7168852,2.2091886997,0
7172716,2.1847507953,0
7176588,2.1554253101,0
7180468,2.1603128910,0
7184340,2.1994135379,0
7188228,2.2287390232,0
7192108,2.2091886997,0
7195980,2.1700880527,0
7199844,2.1554253101,0
7203716,2.1847507953,0
7207588,2.2385141849,0
7211468,2.3020527362,0
7215348,2.3998045921,0
7219228,2.6001954078,0
7223088,2.9178886413,0
7226972,3.2795698642,0
7230852,3.5923752784,0
7234724,3.7634408473,0
7238592,3.7341153621,0
7242480,3.4897360801,0
7246348,3.0791788101,0
7250220,2.5562071800,0
7254084,2.0576734542,0
7257960,1.6862169265,1
7261844,1.5151515007,0
7265720,1.4858260154,0
7269588,1.5347018241,0
7273460,1.6031280517,0
7277344,1.6862169265,0
7281228,1.7986314296,0
7285120,1.9208210945,0
7288996,2.0039100646,0
7292852,2.0332355499,0
7296724,2.0381231307,0
7300588,2.0674486160,0
7304460,2.1212120056,0
7308336,2.1603128910,0
7312212,2.1554253101,0
7316092,2.1407625675,0
7319972,2.1554253101,0
7323860,2.1994135379,0
7327732,2.2336266040,0
7331604,2.2287390232,0
7335484,2.2043011188,0
7339356,2.1945259571,0
7343244,2.2336266040,0
7347116,2.2727272510,0
7350996,2.2776148319,0
7354884,2.2531769275,0
7358764,2.2336266040,0
7362636,2.2678396701,0
7366500,2.3069403171,0
7370372,2.3167154788,0
7374252,2.2922775745,0
7378140,2.2776148319,0
7382028,2.3069403171,0
7385892,2.3558161258,0
7389772,2.3753666877,0
7393660,2.3558161258,0
7397540,2.3460409641,0
7401412,2.3753666877,0
7405292,2.4242424964,0
7409180,2.4535679817,0
7413060,2.4486804008,0
7416916,2.4291300773,0
7420788,2.4633431434,0
7424668,2.5122189521,0
7428548,2.5513195991,0
7432428,2.5464320182,0
7436308,2.5317692756,0
7440180,2.5513195991,0
7444060,2.6001954078,0
7447932,2.6295211315,0
7451820,2.6148581504,0
7455684,2.5806450843,0
7459548,2.5708699226,0
7463420,2.5953078269,0
7467292,2.6099705696,0
7471156,2.5855326652,0
7475036,2.5366568565,0
7478924,2.4975562095,0
7482804,2.4975562095,0
7486676,2.5073313713,0
7490552,2.4682307243,0
7494428,2.3998045921,0
7498308,2.3216030597,0
7502188,2.2922775745,0
7506076,2.2727272510,0
7509948,2.2287390232,0
7513836,2.1554253101,0
7517716,2.0821113586,0
7521596,2.0478982925,0
7525468,2.0478982925,0
7529340,2.0332355499,0
7533224,1.9843597412,0
7537112,1.9452590942,0
7540992,1.9354838371,0
7544876,1.9599218368,0
7548744,1.9745845794,0
7552628,1.9501466751,0
7556512,1.9208210945,0
7560384,1.9257086753,0
7564256,1.9696969985,0
7568132,2.0039100646,0
7572000,1.9990224838,0
7575880,1.9745845794,0
7579752,1.9794721603,0
7583612,2.0234603881,0
7587484,2.0674486160,0
7591356,2.0674486160,0
7595228,2.0430107116,0
7599092,2.0381231307,0
7602972,2.0821113586,0
7606852,2.1309874057,0
7610716,2.1309874057,0
7614580,2.1065492630,0
7618452,2.0918865203,0
7622324,2.1212120056,0
7626204,2.1700880527,0
7630076,2.1798632144,0
7633964,2.1554253101,0
7637836,2.1358749866,0
7641708,2.1505377292,0
7645580,2.1896383762,0
7649460,2.2043011188,0
7653332,2.1749756336,0
7657220,2.1407625675,0
7661100,2.1505377292,0
7664980,2.1847507953,0
7668860,2.2043011188,0
7672724,2.1798632144,0
7676604,2.1407625675,0
7680484,2.1505377292,0
7684364,2.1798632144,0
7688244,2.1994135379,0
7692124,2.1847507953,0
7696004,2.1505377292,0
7699884,2.1505377292,0
7703756,2.1798632144,0
7707636,2.2091886997,0
7711500,2.1945259571,0
7715388,2.1603128910,0
7719268,2.1456501483,0
7723148,2.1847507953,0
7727020,2.2189638614,0
7730900,2.2140762805,0
7734772,2.1749756336,0
7738660,2.1554253101,0
7742532,2.1798632144,0
7746412,2.2189638614,0
7750300,2.2238514423,0
7754188,2.1847507953,0
7758068,2.1603128910,0
7761948,2.1896383762,0
7765828,2.2189638614,0
7769700,2.2238514423,0
7773580,2.1945259571,0
7777468,2.1847507953,0
7781340,2.1847507953,0
7785220,2.2238514423,0
7789108,2.2385141849,0
7792988,2.2140762805,0
7796860,2.1798632144,0
7800732,2.1945259571,0
7804612,2.2189638614,0
7808492,2.2385141849,0
7812380,2.2189638614,0
7816260,2.1798632144,0
7820140,2.1749756336,0
7824028,2.2091886997,0
7827908,2.2434017658,0
7831788,2.2287390232,0
7835672,2.1994135379,0
7839548,2.1749756336,0
7843436,2.2043011188,0
7847308,2.2336266040,0
7851180,2.2287390232,0
7855052,2.2091886997,0
7858932,2.1896383762,0
7862812,2.2189638614,0
7866692,2.2580645084,0
7870548,2.2580645084,0
7874412,2.2238514423,0
7878300,2.2043011188,0
7882172,2.2336266040,0
7886044,2.2678396701,0
7889916,2.2776148319,0
7893804,2.2482893466,0
7897684,2.2238514423,0
